departamento_id,departamento_nombre,provincia_id,provincia_nombre,anio,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
5,COMUNA 5,2,CABA,2023,1,Dengue,6,De 10 a 14 años,1
140,San Fernando,22,Chaco,2023,1,Dengue,8,De 20 a 24 años,1
28,Capital,54,Misiones,2023,1,Dengue,11,De 45 a 65 años,1
140,San Fernando,22,Chaco,2023,1,Dengue,5,De 5 a 9 años,2
9,COMUNA 9,2,CABA,2023,1,Dengue,11,De 45 a 65 años,1
140,San Fernando,22,Chaco,2023,1,Dengue,10,De 35 a 44 años,2
515,Malvinas Argentinas,6,Buenos Aires,2023,1,Dengue,12,Mayores de 65 años,1
4,COMUNA 4,2,CABA,2023,1,Dengue,5,De 5 a 9 años,1
5,COMUNA 5,2,CABA,2023,1,Dengue,11,De 45 a 65 años,1
77,Libertad,22,Chaco,2023,1,Dengue,10,De 35 a 44 años,1
140,San Fernando,22,Chaco,2023,1,Dengue,9,De 25 a 34 años,6
98,Río Cuarto,14,Córdoba,2023,1,Dengue,11,De 45 a 65 años,1
28,Avellaneda,86,Santiago del Estero,2023,1,Dengue,9,De 25 a 34 años,1
140,San Fernando,22,Chaco,2023,1,Dengue,11,De 45 a 65 años,3
28,Guaymallén,50,Mendoza,2023,1,Dengue,10,De 35 a 44 años,1
28,Capital,54,Misiones,2023,1,Dengue,9,De 25 a 34 años,1
13,COMUNA 13,2,CABA,2023,1,Dengue,9,De 25 a 34 años,1
412,José C. Paz,6,Buenos Aires,2023,1,Dengue,8,De 20 a 24 años,1
21,Comandante Fernández,22,Chaco,2023,1,Dengue,2,Posneonato (29 hasta 365 días),1
999,desconocido,99,desconocida,2023,1,Dengue,11,De 45 a 65 años,1
14,Capital,14,Córdoba,2023,1,Dengue,10,De 35 a 44 años,1
140,San Fernando,22,Chaco,2023,1,Dengue,6,De 10 a 14 años,1
1,COMUNA 1,2,CABA,2023,2,Dengue,12,Mayores de 65 años,1
14,Capital,14,Córdoba,2023,2,Dengue,10,De 35 a 44 años,1
84,Libertador General San Martín,22,Chaco,2023,2,Dengue,10,De 35 a 44 años,1
28,Chacabuco,22,Chaco,2023,2,Dengue,11,De 45 a 65 años,1
84,Libertador General San Martín,22,Chaco,2023,2,Dengue,8,De 20 a 24 años,1
98,Río Cuarto,14,Córdoba,2023,2,Dengue,10,De 35 a 44 años,1
539,Merlo,6,Buenos Aires,2023,2,Dengue,7,De 15 a 19 años,1
56,Grl. José de San Martín,66,Salta,2023,2,Dengue,9,De 25 a 34 años,1
13,COMUNA 13,2,CABA,2023,2,Dengue,10,De 35 a 44 años,1
1,COMUNA 1,2,CABA,2023,2,Dengue,5,De 5 a 9 años,1
84,Rosario,82,Santa Fe,2023,2,Dengue,11,De 45 a 65 años,1
84,Libertador General San Martín,22,Chaco,2023,2,Dengue,5,De 5 a 9 años,1
140,San Fernando,22,Chaco,2023,2,Dengue,11,De 45 a 65 años,1
