provincia,1,2,3,4,5,6,7,8,9,10,11,12
Jujuy,22.450000000000003,21.45,20.200000000000003,17.55,14.25,11.8,11.05,14.05,17.049999999999997,20.45,21.65,22.65
Salta,24.633333333333336,23.633333333333336,22.266666666666666,19.666666666666668,16.366666666666667,13.966666666666667,13.266666666666666,16.099999999999998,19.3,22.73333333333333,23.766666666666666,24.7
Formosa,28.0,26.95,25.65,22.7,18.95,17.25,16.5,18.8,21.1,24.15,25.35,27.25
Misiones,25.3,24.766666666666666,23.7,21.166666666666668,17.533333333333335,16.266666666666666,15.700000000000001,17.666666666666668,19.3,21.600000000000005,23.03333333333333,24.733333333333334
Tucumán,25.3,24.2,22.7,19.6,15.9,13.0,12.3,15.2,18.4,21.8,23.7,25.1
Santiago del Estero,27.0,25.8,23.8,20.1,16.2,12.9,12.1,15.4,19.1,22.8,25.0,26.7
Chaco,27.0,26.200000000000003,24.45,21.25,17.35,15.600000000000001,14.55,16.95,19.45,22.6,24.05,26.1
Corrientes,26.366666666666664,25.433333333333337,23.733333333333334,20.533333333333335,16.866666666666664,14.733333333333334,13.9,15.866666666666667,17.766666666666666,20.766666666666666,23.0,25.266666666666666
La Rioja,26.399999999999995,25.03333333333333,23.03333333333333,18.900000000000002,14.300000000000002,10.9,10.1,13.666666666666666,17.4,21.666666666666668,24.333333333333332,26.46666666666667
Catamarca,27.8,26.4,24.6,20.7,16.2,12.2,11.7,15.8,19.8,23.7,26.0,27.6
Córdoba,23.9375,22.425,20.775,17.262500000000003,13.575000000000001,10.45,9.524999999999999,12.037500000000001,14.975000000000001,18.362499999999997,21.25,23.35
Santa Fe,24.88333333333333,23.583333333333332,21.849999999999998,18.316666666666666,14.816666666666665,11.850000000000001,10.850000000000001,13.083333333333334,15.649999999999999,18.88333333333333,21.66666666666666,23.866666666666664
Entre Ríos,25.166666666666668,23.866666666666664,22.066666666666666,18.433333333333334,14.933333333333332,12.233333333333334,11.4,13.4,15.5,18.566666666666666,21.433333333333334,23.833333333333332
San Juan,26.35,24.450000000000003,21.9,16.65,11.75,8.4,7.35,10.35,14.2,18.950000000000003,22.75,25.65
San Luis,24.05,22.4,20.3,16.1,12.3,9.15,8.3,10.95,14.2,17.9,20.9,23.25
Mendoza,23.979999999999997,22.22,19.68,14.8,10.66,7.540000000000001,6.7,9.24,12.580000000000002,16.54,20.14,22.96
La Pampa,23.8,22.299999999999997,19.95,15.65,11.75,8.5,7.7,10.0,12.9,16.200000000000003,19.950000000000003,22.85
Buenos Aires,22.781818181818185,21.622727272727275,19.545454545454547,15.622727272727273,12.181818181818182,9.231818181818182,8.34090909090909,10.245454545454546,12.327272727272726,15.44090909090909,18.58636363636364,21.454545454545453
CABA,24.5,23.7,22.0,18.5,15.2,12.3,11.3,12.9,14.7,17.7,20.6,23.2
Neuquén,24.1,22.4,19.1,13.7,9.5,6.8,6.0,8.3,11.7,15.5,19.5,22.6
Río Negro,19.26,18.32,15.4,10.919999999999998,7.38,4.8,3.9200000000000004,5.58,7.980000000000001,11.440000000000001,14.76,17.7
Chubut,18.933333333333334,18.03333333333333,15.6,11.733333333333334,8.233333333333333,5.433333333333334,4.766666666666667,6.533333333333334,8.733333333333333,11.866666666666667,14.866666666666667,17.333333333333332
Santa Cruz,15.116666666666665,14.616666666666667,12.233333333333333,8.816666666666666,5.316666666666666,2.4499999999999997,2.12,3.7400000000000007,6.366666666666667,9.25,11.966666666666669,13.933333333333332
Tierra del Fuego,10.25,9.9,8.4,5.95,3.5999999999999996,1.4,1.2,2.25,3.95,6.2,7.95,9.3
